Show,Code,Name,Cost,OnBox,Img
1,80101,Розетка влагозащищенная накладная с заземлен.,3.65,120,img/80101.png
1,80102,розетка накладная с заземлен. с защитой для детей,3.90,120,img/80101.png
1,81101,Влагозащищенная розетка накладная с заземлен. с крышкой,4.27,120,img/81101.png
1,81102,Влагозащищенная розетка накладная с заземлен.с крышкой с защитой для детей,4.38,120,img/81101.png
1,82000,Влагозащищенная кнопка для звонка,3.65,120,img/82000.png
1,82001,Влагозащитный выключатель,3.65,120,img/82001.png
1,82002,Влагозащитныв выключатель двойной,3.79,120,img/82002.png
1,82003,Влагозащитный Проходной выключатель Вавиен,5.00,120,img/82003.png
